Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year
301,150.524,0.7080899,1.0047158,157.72400000000002,315.44800000000004,2011_nk_152,Nush,2011
302,151.048,0.7075915,1.0598779,158.24800000000002,316.49600000000004,2011_nk_152,Nush,2011
303,151.524,0.7089862,1.0549893,158.77200000000002,317.54400000000004,2011_nk_152,Nush,2011
304,152.048,0.7087935,1.0436276,159.29600000000002,318.59200000000004,2011_nk_152,Nush,2011
305,152.524,0.7075569,0.9771749,159.82,319.64,2011_nk_152,Nush,2011
306,153.048,0.7092889,0.9988179,160.344,320.688,2011_nk_152,Nush,2011
307,153.524,0.7081336,0.9952198,160.868,321.736,2011_nk_152,Nush,2011
308,154.048,0.7088938,0.976943,161.392,322.784,2011_nk_152,Nush,2011
309,154.524,0.707481,0.9478892,161.916,323.832,2011_nk_152,Nush,2011
310,155.048,0.7087796,0.9365267,162.44,324.88,2011_nk_152,Nush,2011
311,155.524,0.7086756,0.9848588,162.964,325.928,2011_nk_152,Nush,2011
312,156.048,0.7083568,0.9637466,163.488,326.976,2011_nk_152,Nush,2011
313,156.524,0.7087309,0.9860259,164.012,328.024,2011_nk_152,Nush,2011
314,157.048,0.7081604,0.9881896,164.536,329.072,2011_nk_152,Nush,2011
315,157.524,0.7079047,0.9955725,165.06,330.12,2011_nk_152,Nush,2011
316,158.048,0.7080412,0.9591955,165.584,331.168,2011_nk_152,Nush,2011
317,158.524,0.7090987,0.9610232,166.108,332.216,2011_nk_152,Nush,2011
