Cycle,time,Iso,Sr88,Time,Microns,Fish_id,Watershed,Year,Iso_MA,Sr88_MA,Sr88_MA_Gradient,natal_microns_start,natal_microns_end,marine_start,natal_origin_iso,Core
1090,545.048,0.7093555,4.1421963,571.16,1142.32,2011_nk_225,Nush,2011,0.709093643333333,4.10352045666667,-0.00184763999999937,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1091,545.524,0.7087289,4.2010249,571.684,1143.368,2011_nk_225,Nush,2011,0.7091009,4.101390815,-0.0021296416666674,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1092,546.048,0.7091118,4.1579271,572.208,1144.416,2011_nk_225,Nush,2011,0.709118188333333,4.100260925,-0.00112988999999963,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1093,546.524,0.7092934,4.0542268,572.732,1145.464,2011_nk_225,Nush,2011,0.709127228333333,4.09842022666666,-0.00184069833333389,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1094,547.048,0.7090249,4.1150608,573.256,1146.512,2011_nk_225,Nush,2011,0.70912257,4.097356915,-0.00106331166666696,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1095,547.524,0.7093019,4.1670699,573.78,1147.56,2011_nk_225,Nush,2011,0.709132663333333,4.09723170333333,-1.2521166666612e-4,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1096,548.048,0.7088516,4.0646062,574.304,1148.608,2011_nk_225,Nush,2011,0.7091404,4.094976045,-0.00225565833333352,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1097,548.524,0.7089814,4.0241516,574.828,1149.656,2011_nk_225,Nush,2011,0.709139555,4.091895195,-0.00308084999999991,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1098,549.048,0.7092705,4.0852549,575.352,1150.704,2011_nk_225,Nush,2011,0.70914702,4.09000361166667,-0.00189158333333328,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1099,549.524,0.7092892,4.0734861,575.876,1151.752,2011_nk_225,Nush,2011,0.709150483333333,4.08706326666667,-0.00294034499999984,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1100,550.048,0.7092747,4.0773652,576.4,1152.8,2011_nk_225,Nush,2011,0.709153765,4.08353227,-0.00353099666666701,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1101,550.524,0.70944719999999994,4.1290995,576.924,1153.848,2011_nk_225,Nush,2011,0.70915218,4.079700885,-0.0038313849999998,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
1102,551.048,0.7093923,4.0759302,577.448,1154.896,2011_nk_225,Nush,2011,0.709143471666666,4.07560377666667,-0.00409710833333321,526.445262902834,643.478958363317,1066.864,0.705947479464286,NA
